Source,Target
Oberon,Comedy
Titania,Comedy
Don John,Comedy
Orsino,Comedy
Biron,Comedy
Boyet,Comedy
Boyet,Comedy
Touchstone,Comedy
Petrucio,Comedy
AC_Antony,Tragedy
Othello,Tragedy
Juliet,Tragedy
Princess,Comedy
Perdita,Comedy
Troilus,Tragedy
Guiderius,Tragedy
Titus,Tragedy
Perdita,Comedy
Perdita,Comedy
Marina,Comedy
Longueville,Comedy
Ophelia,Tragedy
Ophelia,Tragedy
Perdita,Comedy
Mercutio,Tragedy
Romeo,Tragedy
Perdita,Comedy
Polixenes,Comedy
Beatrice,Comedy
Margaret,Comedy
Oberon,Comedy
Orsino,Comedy
Perdita,Comedy
Laertes,Tragedy
Laertes,Tragedy
Belarius,Tragedy
Perdita,Comedy
Perdita,Comedy
Hermia,Comedy
Arviragus,Tragedy
Porter,Comedy
Oberon,Comedy
Perdita,Comedy
Ophelia,Tragedy
H_Queen,Tragedy
Lucius,Tragedy
Oberon,Comedy
Titania,Comedy
Ursula,Comedy
Arviragus,Tragedy
Hero,Comedy
Ariel,Comedy
Fairy,Comedy
Thisbe,Comedy
C_Queen,Tragedy
Iachimo,Tragedy
Arviragus,Tragedy
Oberon,Comedy
Gonzalo,Comedy
TT_Antonio,Comedy
Sir Toby,Comedy
Cressida,Tragedy
Iago,Tragedy
Menenius,Tragedy
Biron,Comedy
Coriolanus,Tragedy
Cordelia,Tragedy
Cordelia,Tragedy
Third Witch,Tragedy
Gonzalo,Comedy
Sebastian,Comedy
Bottom,Comedy
Dromio,Comedy
Rosalind,Comedy
Katharine,Comedy
Eros,Tragedy
Marcius,Tragedy
First Senator,Tragedy
Romeo,Tragedy
Lucio,Comedy
Lysander,Comedy
Rosalind,Comedy
Pandarus,Tragedy
LLL_Costard,Comedy
Romeo,Tragedy
Cordelia,Tragedy
Tamora,Tragedy
Prospero,Comedy
Prospero,Comedy
Mrs Page,Comedy
Benedict,Comedy
Oliver,Comedy
Pauline,Comedy
Casca,Tragedy
Nestor,Tragedy
Iago,Tragedy
Volumnia,Tragedy
Volumnia,Tragedy
Second Guard,Tragedy
Volumnia,Tragedy
Timon,Tragedy
Prospero,Comedy
Dumain,Comedy
Coriolanus,Tragedy
Soothsayer,Tragedy
Soothsayer,Tragedy
Adriana,Comedy
Titania,Comedy
Boyet,Comedy
Desdemona,Tragedy
Benvolio,Tragedy
Paris,Tragedy
TN_Clown,Comedy
Tamora,Tragedy
Third Witch,Tragedy
TN_Clown,Comedy
Gremio,Comedy
Aufidius,Tragedy
Prospero,Comedy
Prospero,Comedy
TWT_First Lord,Comedy
AC_Antony,Tragedy
Agamemnon,Tragedy
Belarius,Tragedy
Marcus,Tragedy
Maria,Comedy
Benedict,Comedy
Benedict,Comedy
Lorenzo,Comedy
Desdemona,Tragedy
H_Queen,Tragedy
Rosalind,Comedy
Cassius,Tragedy
Hamlet,Tragedy
Rosalind,Comedy
Oliver,Comedy
AC_Caesar,Tragedy
Isabella,Comedy
Euphronius,Tragedy
Petrucio,Comedy
Ulyss,Tragedy
Titus,Tragedy
Arviragus,Tragedy
Saturninus,Tragedy
Juliet,Tragedy
Menenius,Tragedy
Amiens,Comedy
Tamora,Tragedy
Ceres,Comedy
Timon,Tragedy
Lear,Tragedy
Prospero,Comedy
Shepherd,Comedy
Adriana,Comedy
Helena,Comedy
Rosalind,Comedy
Edgar,Tragedy
Nathaniel,Comedy
Celia,Comedy
Arid,Comedy
Rosalind,Comedy
Helena,Comedy
Timon,Tragedy
Gonzalo,Comedy
Iago,Tragedy
Titania,Comedy
Titania,Comedy
Touchstone,Comedy
Lafeu,Comedy
Iago,Tragedy
Menenius,Tragedy
First Guard,Tragedy
Falstaff,Comedy
Parolles,Comedy
Sebastian,Comedy
TT_Antonio,Comedy
Evans,Comedy
Malvolio,Comedy
MV_Antonio,Comedy
Biondella,Comedy
Petrucio,Comedy
Fool,Tragedy
Nurse,Tragedy
Beatrice,Comedy
MAAN_Claudio,Comedy
Menenius,Tragedy
Biron,Comedy
AMND_Demetrius,Comedy
Helena,Comedy
Gower,Comedy
Titania,Comedy
Volumnia,Tragedy
Touchstone,Comedy
Rosalind,Comedy
Timon,Tragedy
Apemantus,Tragedy
Mercutio,Tragedy
Thersites,Tragedy
Petrucio,Comedy
Katharine,Comedy
Petrucio,Comedy
Fool,Tragedy
Pistol,Comedy
Titania,Comedy
Thersites,Tragedy
Hamlet,Tragedy
Mercutio,Tragedy
Ford,Comedy
Haberdasher,Comedy
Petrucio,Comedy
Mercutio,Tragedy
Petrucio,Comedy
First Witch,Tragedy
Slender,Comedy
Pompey,Comedy
TWT_Clown,Comedy
TWT_Clown,Comedy
TWT_Clown,Comedy
TWT_Clown,Comedy
Prospero,Comedy
Puck,Comedy
Celia,Comedy
Caliban,Comedy
Caliban,Comedy
First Bandit,Tragedy
AC_Caesar,Tragedy
FaLstaff,Comedy
FaLstaff,Comedy
Anne,Comedy
Biondello,Comedy
Touchstone,Comedy
Malvolio,Comedy
Fool,Tragedy
Iago,Tragedy
Prospero,Comedy
Edgar,Tragedy
Bottom,Comedy
Lord,Comedy
Lafeu,Comedy
Enobarbus,Tragedy
Enobarbus,Tragedy
Bottom,Comedy
Dorcas,Comedy
Menenius,Tragedy
Thisbe,Comedy
Dumain,Comedy
Perdita,Comedy
Perdita,Comedy
Perdita,Comedy
Lafeu,Comedy
AWTEW_Clown,Comedy
Edgar,Tragedy
Perdita,Comedy
Ophelia,Tragedy
Perdita,Comedy
Ophelia,Tragedy
Nurse,Tragedy
Friar,Tragedy
Edgar,Tragedy
Ophelia,Tragedy
Iago,Tragedy
Oberon,Comedy
Anne,Comedy
Dumain,Comedy
TWT_Clown,Comedy
Longaville,Comedy
TWT_Costard,Comedy
TWT_Clown,Comedy
TWT_Clown,Comedy
TWT_Clown,Comedy
Ford,Comedy
Sir Andrew,Comedy
Mustard,Comedy
Bottom,Comedy
Touchstone,Comedy
Rosalind,Comedy
Rosalind,Comedy
Touchstone,Comedy
Macbeth,Tragedy
Iago,Tragedy
Cleopatra,Tragedy
Ghost,Tragedy
Othello,Tragedy
Poet,Tragedy
Hamlet,Tragedy
Iago,Tragedy
Gonzalo,Comedy
MFM_Duke,Comedy
Menenius,Tragedy
Marcius,Tragedy
First Citizen,Tragedy
C_Brutus,Tragedy
Coriolanus,Tragedy
Pericles,Comedy
Macbeth,Tragedy
Iris,Comedy
Helena,Comedy
Pompey,Tragedy
Pandarus,Tragedy
Hamlet,Tragedy
Edgar,Tragedy
Iris,Comedy
Bottom,Comedy
Grumio,Comedy
Officer,Tragedy
Iris,Comedy
Iris,Comedy
Iris,Comedy
Bottom,Comedy
Biron,Comedy
Sir Toby,Comedy
Third Servant,Tragedy
Clown,Comedy
Enobarbus,Tragedy
Iris,Comedy
Dromio,Comedy
Thersites,Tragedy
Dromio,Comedy
Benedict,Comedy
Rosalind,Comedy
Salarino,Comedy
Lorenzo,Comedy
Cassius,Tragedy
Enobarbus,Tragedy
Coriolanus,Tragedy
Poet,Tragedy
Nurse,Tragedy
Cleon,Comedy
Soothsayer,Tragedy
Lear,Tragedy
Petrucio,Comedy
Isabella,Comedy
Pandarus,Tragedy
Old Man,Tragedy
Page,Comedy
Lord,Comedy
Hero,Comedy
Viola,Comedy
Petrucio,Comedy
Hortensio,Comedy
Othello,Tragedy
Rosencrantz,Tragedy
Mrs Page,Comedy
Mrs Ford,Comedy
Sir Toby,Comedy
