Source,Target
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Minor
Garden Flowers,Minor
Garden Flowers,Minor
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Minor
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Major
Garden Flowers,Minor
Garden Flowers,Major
Garden Flowers,Minor
Garden Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Minor
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Minor
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Minor
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Minor
Wild Flowers,Minor
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Wild Flowers,Major
Weeds,Major
Weeds,Major
Weeds,Major
Weeds,Major
Weeds,Major
Weeds,Major
Weeds,Major
Weeds,Major
Weeds,Major
Weeds,Major
Weeds,Minor
Weeds,Major
Weeds,Minor
Weeds,Major
Weeds,Major
Weeds,Major
Weeds,Minor
Weeds,Minor
Weeds,Major
Weeds,Minor
Weeds,Major
Weeds,Minor
Weeds,Major
Weeds,Major
Weeds,Major
Weeds,Minor
Weeds,Major
Weeds,Major
Weeds,Major
Trees,Major
Trees,Major
Trees,Major
Trees,Major
Trees,Major
Trees,Major
Trees,Minor
Trees,Minor
Trees,Major
Trees,Major
Trees,Major
Trees,Minor
Trees,Major
Trees,Major
Trees,Major
Trees,Major
Trees,Major
Trees,Minor
Trees,Minor
Trees,Major
Trees,Major
Trees,Minor
Trees,Major
Trees,Minor
Trees,Minor
Trees,Major
Trees,Major
Trees,Minor
Trees,Major
Trees,Minor
Trees,Major
Trees,Major
Trees,Major
Trees,Minor
Trees,Major
Trees,Major
Trees,Major
Trees,Major
Trees,Minor
Trees,Major
Trees,Major
Trees,Minor
Trees,Major
Trees,Major
Trees,Major
Trees,Minor
Trees,Major
Trees,Major
Trees,Major
Trees,Major
Trees,Major
Trees,Minor
Trees,Major
Trees,Major
Trees,Minor
Trees,Major
Trees,Major
Trees,Major
Trees,Major
Trees,Minor
Trees,Major
Trees,Minor
Trees,Major
Trees,Minor
Trees,Major
Trees,Minor
Trees,Major
Trees,Minor
Trees,Major
Trees,Major
Trees,Minor
Trees,Major
Trees,Minor
Trees,Major
Trees,Major
Trees,Major
Trees,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Minor
Fruits,Major
Fruits,Major
Fruits,Minor
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Minor
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Minor
Fruits,Major
Fruits,Major
Fruits,Minor
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Minor
Fruits,Major
Fruits,Major
Fruits,Minor
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Minor
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Minor
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
Fruits,Major
