Source,Target
Garden Flowers,Rose
Garden Flowers,Rose
Garden Flowers,Rose
Garden Flowers,Rose
Garden Flowers,Rose
Garden Flowers,Rose
Garden Flowers,Rose
Garden Flowers,Rose
Garden Flowers,Rose
Garden Flowers,Rose
Garden Flowers,Rose
Garden Flowers,Rose
Garden Flowers,Lily
Garden Flowers,Lily
Garden Flowers,Lily
Garden Flowers,Lily
Garden Flowers,Lily
Garden Flowers,Carnation
Garden Flowers,Marigold
Garden Flowers,Marigold
Garden Flowers,Columbine
Garden Flowers,Columbine
Garden Flowers,Pansy
Garden Flowers,Lavender
Garden Flowers,Pink
Garden Flowers,Pink
Garden Flowers,Gillyvors
Garden Flowers,Pink
Garden Flowers,Holy Thistle
Garden Flowers,Holy Thistle
Garden Flowers,Violet
Wild Flowers,Violet
Wild Flowers,Violet
Wild Flowers,Violet
Wild Flowers,Violet
Wild Flowers,Violet
Wild Flowers,Daffodil
Wild Flowers,Primrose
Wild Flowers,Primrose
Wild Flowers,Daffodil
Wild Flowers,Daffodil
Wild Flowers,Ox-Lip
Wild Flowers,Ox-Lip
Wild Flowers,Daisy
Wild Flowers,Daisy
Wild Flowers,Daisy
Wild Flowers,Woodbine And Eglantine
Wild Flowers,Woodbine And Eglantine
Wild Flowers,Woodbine And Eglantine
Wild Flowers,Woodbine And Eglantine
Wild Flowers,Honeysuckle
Wild Flowers,Cowslip
Wild Flowers,Cowslip
Wild Flowers,Cowslip
Wild Flowers,Cowslip
Wild Flowers,Cowslip
Wild Flowers,Hare-Bell
Wild Flowers,Love-In-Idleness
Weeds,Nettle
Weeds,Nettle
Weeds,Nettle
Weeds,Nettle
Weeds,Nettle
Weeds,Nettle
Weeds,Cockle
Weeds,Cockle
Weeds,Fumitory
Weeds,"Hemlock, Harlock"
Weeds,"Hemlock, Harlock"
Weeds,Dock
Weeds,Dock
Weeds,Thistle
Weeds,Rushes
Weeds,Rushes
Weeds,Rushes
Weeds,Rushes
Weeds,Rushes
Weeds,Rushes
Weeds,Rushes
Weeds,Burs
Weeds,Burs
Weeds,Burs
Weeds,Burs
Weeds,Plantain
Weeds,Plantain
Weeds,Cuckoo Flowers
Weeds,Clover
Trees,Oak
Trees,Oak
Trees,Oak
Trees,Oak
Trees,Oak
Trees,Oak
Trees,Oak
Trees,Oak
Trees,Oak
Trees,Oak
Trees,Oak
Trees,Oak
Trees,Oak
Trees,Oak
Trees,Cedar
Trees,Cedar
Trees,Cedar
Trees,Cedar
Trees,Cedar
Trees,Elm
Trees,Elm
Trees,Sycamore
Trees,Sycamore
Trees,Sycamore
Trees,Yew
Trees,Yew
Trees,Yew
Trees,Yew
Trees,Cypress
Trees,Cypress
Trees,Cypress
Trees,Pine
Trees,Pine
Trees,Pine
Trees,Pine
Trees,Pine
Trees,Pine
Trees,Aspen
Trees,Box
Trees,Willow
Trees,Willow
Trees,Willow
Trees,Willow
Trees,Willow
Trees,Palm
Trees,Palm
Trees,Palm
Trees,Olive
Trees,Olive
Trees,Olive
Trees,Myrtle
Trees,Myrtle
Trees,Hazel
Trees,Laurel
Trees,Laurel
Trees,Elder
Trees,Elder
Trees,Pomegranate-tree
Trees,Crab
Trees,Holly
Trees,Mistletoe
Trees,Vine
Trees,Vine
Trees,Vine
Trees,Ivy
Trees,Ivy
Trees,Ivy
Trees,Hawthorn
Trees,Hawthorn
Trees,Hawthorn
Trees,Osiers
Trees,Osiers
Trees,Briers
Trees,Briers
Trees,Briers
Trees,Briers
Trees,Heath
Fruits,Strawberry
Fruits,Apricots
Fruits,Grapes
Fruits,Grapes
Fruits,Grapes
Fruits,Grapes
Fruits,Grapes
Fruits,Figs
Fruits,Pears
Fruits,Pears
Fruits,Apples
Fruits,Apples
Fruits,Apples
Fruits,Apples
Fruits,Apples
Fruits,Apples
Fruits,Apples
Fruits,Apples
Fruits,Quince
Fruits,Orange
Fruits,Orange
Fruits,Orange
Fruits,Lemon
Fruits,Cherries
Fruits,Cherries
Fruits,Cherries
Fruits,Mulberry
Fruits,Mulberry
Fruits,Medlars
Fruits,Medlars
Fruits,Medlars
Fruits,Medlars
Fruits,Medlars
Fruits,Blackberry
Fruits,Crab
Fruits,Crab
Fruits,Crab
Fruits,Crab
Fruits,Bilberry
Fruits,Dewberry
Fruits,Nuts
Fruits,Nuts
Fruits,Nuts
Fruits,Walnut
Fruits,Walnut
Fruits,Walnut
Fruits,Hazel-Nut
Fruits,Chestnut
Fruits,Chestnut
Fruits,Prunes
Fruits,Prunes
Fruits,Prunes
Fruits,Dates
Fruits,Currants
Fruits,Raisins
Fruits,Acorn
Fruits,Acorn
Fruits,Acorn
Fruits,Berries
Fruits,Berries
Fruits,Berries
Fruits,Berries
Vegetables,Potato
Vegetables,Cabbage
Vegetables,Turnips
Vegetables,Parsley
Vegetables,Peascod
Vegetables,Peascod
Vegetables,Peascod
Vegetables,Lettuce
Vegetables,Mushroom
Vegetables,Samphire
Vegetables,Onion
Vegetables,Onion
Vegetables,Onion
Vegetables,Onion
Vegetables,Onion
Vegetables,Garlic
Vegetables,Garlic
Vegetables,Garlic
Vegetables,Leek
Herbs,Mint
Herbs,Mint
Herbs,Savory
Herbs,Marjoram
Herbs,Marjoram
Herbs,Marjoram
Herbs,Marjoram
Herbs,Rue
Herbs,Rue
Herbs,Rosemary
Herbs,Rosemary
Herbs,Rosemary
Herbs,Rosemary
Herbs,Rosemary
Herbs,Fennel
Herbs,Hyssop And Thyme
Herbs,Hyssop And Thyme
Herbs,Balm
Spices And Medicines,Nutmeg
Spices And Medicines,Nutmeg
Spices And Medicines,Clove
Spices And Medicines,Ginger
Spices And Medicines,Ginger
Spices And Medicines,Mace
Spices And Medicines,Saffron
Spices And Medicines,Pepper
Spices And Medicines,Pepper
Spices And Medicines,Mustard
Spices And Medicines,Mustard
Spices And Medicines,Mustard
Spices And Medicines,Mustard
Spices And Medicines,Mustard
Spices And Medicines,Mustard
Spices And Medicines,Rhubarb and Senna
Spices And Medicines,Poppy And Mandragora
Spices And Medicines,Poppy And Mandragora
Spices And Medicines,Hebenon
Spices And Medicines,Gum
Spices And Medicines,Gum
Spices And Medicines,Gum
Spices And Medicines,"Coloquintida, Locusts"
Grain,Corn
Grain,Corn
Grain,Corn
Grain,Corn
Grain,Corn
Grain,Corn
Grain,Corn
Grain,Corn
Grain,Corn
Grain,Wheat
Grain,Wheat
Grain,Wheat
Grain,Wheat
Grain,Wheat
Grain,Wheat
Grain,Barley
Grain,Oats
Grain,Oats
Grain,Oats
Grain,Rye
Grain,Vetches
Grain,Peas
Grain,Peas
Grain,Peas
Grain,Flax
Grain,Flax
Grain,Rice
Birds,Ostrich
Birds,Peacock
Birds,Peacock
Birds,Peacock
Birds,Parrot
Birds,Parrot
Birds,Parrot
Birds,Parrot
Birds,Parrot
Birds,Eagle
Birds,Eagle
Birds,Eagle
Birds,Eagle
Birds,Eagle
Birds,Eagle
Birds,Eagle
Birds,Vulture
Birds,Falcon
Birds,Falcon
Birds,Falcon
Birds,Falcon
Birds,Hawk
Birds,Hawk
Birds,Haggard
Birds,Haggard
Birds,Haggard
Birds,Haggard
Birds,Haggard
Birds,Eyas
Birds,Eyas-Musket
Birds,Eyas-Musket
Birds,Coystril
Birds,Puttock
Birds,Owl
Birds,Owl
Birds,Owl
Birds,Owl
Birds,Owl
Birds,Chough
Birds,Chough
Birds,Crow
Birds,Crow
Birds,Crow
Birds,Crow
Birds,Crow
Birds,Crow
Birds,Raven
Birds,Raven
Birds,Raven
Birds,Raven
Birds,Raven
Birds,Rook
Birds,Kite
Birds,Kite
Birds,Kite
Birds,Kite
Birds,Daw
Birds,Daw
Birds,Daw
Birds,Jay
Birds,Jay
Birds,Jay
Birds,Pheasant
Birds,Pheasant
Birds,Partridge
Birds,Quail
Birds,Woodcock
Birds,Woodcock
Birds,Woodcock
Birds,Woodcock
Birds,Woodcock
Birds,Woodcock
Birds,Woodcock
Birds,Woodcock
Birds,Pigeon
Birds,Pigeon
Birds,Dove
Birds,Dove
Birds,Dove
Birds,Dove
Birds,Dove
Birds,Nightingale
Birds,Nightingale
Birds,Nightingale
Birds,Nightingale
Birds,Nightingale
Birds,Nightingale
Birds,Nightingale
Birds,Nightingale
Birds,Lark
Birds,Lark
Birds,Lark
Birds,Lark
Birds,Lark
Birds,Lark
Birds,Lark
Birds,Robin
Birds,Robin
Birds,Thrush (Throstle)
Birds,Thrush (Throstle)
Birds,Lark
Birds,Ousel-cock
Birds,Cuckoo
Birds,Cuckoo
Birds,Cuckoo
Birds,Cuckoo
Birds,Cuckoo
Birds,Lapwing
Birds,Lapwing
Birds,Lapwing
Birds,Finch
Birds,Swallow
Birds,Swallow
Birds,Swallow
Birds,Swallow
Birds,Martlet
Birds,Hedge Sparrow
Birds,Sparrow
Birds,Sparrow
Birds,Sparrow
