Source,Target
Rose,Comedy
Rose,Comedy
Rose,Comedy
Rose,Comedy
Rose,Comedy
Rose,Comedy
Rose,Comedy
Rose,Comedy
Rose,Comedy
Rose,Tragedy
Rose,Tragedy
Rose,Tragedy
Lily,Comedy
Lily,Comedy
Lily,Tragedy
Lily,Tragedy
Lily,Tragedy
Carnation,Comedy
Marigold,Comedy
Marigold,Comedy
Columbine,Comedy
Columbine,Tragedy
Pansy,Tragedy
Lavender,Comedy
Pink,Tragedy
Pink,Tragedy
Gillyvors,Comedy
Pink,Comedy
Holy Thistle,Comedy
Holy Thistle,Comedy
Violet,Comedy
Violet,Comedy
Violet,Comedy
Violet,Tragedy
Violet,Tragedy
Violet,Tragedy
Daffodil,Comedy
Primrose,Comedy
Primrose,Comedy
Daffodil,Tragedy
Daffodil,Comedy
Ox-Lip,Comedy
Ox-Lip,Comedy
Daisy,Tragedy
Daisy,Tragedy
Daisy,Tragedy
Woodbine And Eglantine,Comedy
Woodbine And Eglantine,Comedy
Woodbine And Eglantine,Comedy
Woodbine And Eglantine,Tragedy
Honeysuckle,Comedy
Cowslip,Comedy
Cowslip,Comedy
Cowslip,Comedy
Cowslip,Tragedy
Cowslip,Tragedy
Hare-Bell,Tragedy
Love-In-Idleness,Comedy
Nettle,Comedy
Nettle,Comedy
Nettle,Comedy
Nettle,Tragedy
Nettle,Tragedy
Nettle,Tragedy
Cockle,Comedy
Cockle,Tragedy
Fumitory,Tragedy
"Hemlock, Harlock",Tragedy
"Hemlock, Harlock",Tragedy
Dock,Comedy
Dock,Comedy
Thistle,Comedy
Rushes,Comedy
Rushes,Comedy
Rushes,Comedy
Rushes,Tragedy
Rushes,Tragedy
Rushes,Tragedy
Rushes,Tragedy
Burs,Comedy
Burs,Comedy
Burs,Comedy
Burs,Tragedy
Plantain,Comedy
Plantain,Tragedy
Cuckoo Flowers,Tragedy
Clover,Tragedy
Oak,Comedy
Oak,Comedy
Oak,Comedy
Oak,Comedy
Oak,Comedy
Oak,Comedy
Oak,Tragedy
Oak,Tragedy
Oak,Tragedy
Oak,Tragedy
Oak,Tragedy
Oak,Tragedy
Oak,Tragedy
Oak,Tragedy
Cedar,Comedy
Cedar,Comedy
Cedar,Tragedy
Cedar,Tragedy
Cedar,Tragedy
Elm,Comedy
Elm,Comedy
Sycamore,Comedy
Sycamore,Tragedy
Sycamore,Tragedy
