Source,Target
Rose,Major
Rose,Major
Rose,Major
Rose,Major
Rose,Minor
Rose,Minor
Rose,Minor
Rose,Major
Rose,Major
Rose,Major
Rose,Major
Rose,Major
Lily,Major
Lily,Major
Lily,Major
Lily,Major
Lily,Major
Carnation,Major
Marigold,Major
Marigold,Major
Columbine,Minor
Columbine,Major
Pansy,Major
Lavender,Major
Pink,Major
Pink,Major
Gillyvors,Major
Pink,Minor
Holy Thistle,Major
Holy Thistle,Minor
Violet,Major
Violet,Major
Violet,Major
Violet,Major
Violet,Major
Violet,Major
Daffodil,Major
Primrose,Major
Primrose,Major
Daffodil,Major
Daffodil,Minor
Ox-Lip,Major
Ox-Lip,Major
Daisy,Major
Daisy,Major
Daisy,Minor
Woodbine And Eglantine,Major
Woodbine And Eglantine,Major
Woodbine And Eglantine,Minor
Woodbine And Eglantine,Major
Honeysuckle,Major
Cowslip,Major
Cowslip,Minor
Cowslip,Minor
Cowslip,Major
Cowslip,Major
Hare-Bell,Major
Love-In-Idleness,Major
Nettle,Major
Nettle,Major
Nettle,Major
Nettle,Major
Nettle,Major
Nettle,Major
Cockle,Major
Cockle,Major
Fumitory,Major
"Hemlock, Harlock",Major
"Hemlock, Harlock",Minor
Dock,Major
Dock,Minor
Thistle,Major
Rushes,Major
Rushes,Major
Rushes,Minor
Rushes,Minor
Rushes,Major
Rushes,Minor
Rushes,Major
Burs,Minor
Burs,Major
Burs,Major
Burs,Major
Plantain,Minor
Plantain,Major
Cuckoo Flowers,Major
Clover,Major
Oak,Major
Oak,Major
Oak,Major
Oak,Major
Oak,Major
Oak,Major
Oak,Minor
Oak,Minor
Oak,Major
Oak,Major
Oak,Major
Oak,Minor
Oak,Major
Oak,Major
Cedar,Major
Cedar,Major
Cedar,Major
Cedar,Minor
Cedar,Minor
Elm,Major
Elm,Major
Sycamore,Minor
Sycamore,Major
Sycamore,Minor
Yew,Minor
Yew,Major
Yew,Major
Yew,Minor
Cypress,Major
Cypress,Minor
Cypress,Major
Pine,Major
Pine,Major
Pine,Minor
Pine,Major
Pine,Major
Pine,Major
Aspen,Major
Box,Minor
Willow,Major
Willow,Major
Willow,Minor
Willow,Major
Willow,Major
Palm,Major
Palm,Minor
Palm,Major
Olive,Major
Olive,Major
Olive,Major
Myrtle,Major
Myrtle,Minor
Hazel,Major
Laurel,Major
Laurel,Minor
Elder,Major
Elder,Major
Pomegranate-tree,Major
Crab,Major
Holly,Minor
Mistletoe,Major
Vine,Minor
Vine,Major
Vine,Minor
Ivy,Major
Ivy,Minor
Ivy,Major
Hawthorn,Minor
Hawthorn,Major
Hawthorn,Major
Osiers,Minor
Osiers,Major
Briers,Minor
Briers,Major
Briers,Major
Briers,Major
Heath,Major
Strawberry,Major
Apricots,Major
Grapes,Major
Grapes,Major
Grapes,Minor
Grapes,Major
Grapes,Major
Figs,Minor
Pears,Major
Pears,Major
Apples,Major
Apples,Major
Apples,Major
Apples,Major
Apples,Major
Apples,Minor
Apples,Major
Apples,Major
Quince,Major
Orange,Major
Orange,Major
Orange,Major
Lemon,Minor
Cherries,Major
Cherries,Major
Cherries,Minor
Mulberry,Major
Mulberry,Major
Medlars,Major
Medlars,Major
Medlars,Major
Medlars,Major
Medlars,Major
Blackberry,Major
Crab,Major
Crab,Minor
Crab,Major
Crab,Major
Bilberry,Minor
Dewberry,Major
Nuts,Major
Nuts,Major
Nuts,Major
Walnut,Major
Walnut,Minor
Walnut,Major
Hazel-Nut,Major
Chestnut,Major
Chestnut,Minor
Prunes,Major
Prunes,Major
Prunes,Major
Dates,Major
Currants,Major
Raisins,Major
Acorn,Major
Acorn,Major
Acorn,Major
Berries,Major
Berries,Major
Berries,Minor
Berries,Major
Potato,Major
Cabbage,Major
Turnips,Major
Parsley,Minor
Peascod,Major
Peascod,Major
Peascod,Minor
Lettuce,Major
Mushroom,Major
Samphire,Major
Onion,Major
Onion,Minor
Onion,Major
Onion,Major
Onion,Major
Garlic,Major
Garlic,Minor
Garlic,Major
Leek,Major
Mint,Minor
Mint,Major
Savory,Major
Marjoram,Major
Marjoram,Major
Marjoram,Minor
Marjoram,Major
Rue,Major
Rue,Major
Rosemary,Major
Rosemary,Major
Rosemary,Major
Rosemary,Major
Rosemary,Major
Fennel,Major
Hyssop And Thyme,Major
Hyssop And Thyme,Major
Balm,Major
Nutmeg,Major
Nutmeg,Minor
Clove,Minor
Ginger,Major
Ginger,Minor
Mace,Minor
Saffron,Minor
Pepper,Major
Pepper,Major
Mustard,Minor
Mustard,Major
Mustard,Major
Mustard,Major
Mustard,Minor
Mustard,Minor
Rhubarb and Senna,Major
Poppy And Mandragora,Major
Poppy And Mandragora,Major
Hebenon,Minor
Gum,Major
Gum,Major
Gum,Major
"Coloquintida, Locusts",Major
Corn,Major
Corn,Major
Corn,Major
Corn,Major
Corn,Minor
Corn,Major
Corn,Major
Corn,Major
Corn,Major
Wheat,Minor
Wheat,Major
Wheat,Minor
Wheat,Major
Wheat,Major
Wheat,Major
Barley,Minor
Oats,Major
Oats,Minor
Oats,Minor
Rye,Minor
Vetches,Minor
Peas,Minor
Peas,Major
Peas,Minor
Flax,Major
Flax,Minor
Rice,Minor
Ostrich,Major
Peacock,Major
Peacock,Minor
Peacock,Minor
Parrot,Minor
Parrot,Minor
Parrot,Major
Parrot,Minor
Parrot,Minor
Eagle,Major
Eagle,Major
Eagle,Major
Eagle,Minor
Eagle,Minor
Eagle,Minor
Eagle,Minor
Vulture,Major
Falcon,Major
Falcon,Minor
Falcon,Major
Falcon,Minor
Hawk,Minor
Hawk,Minor
Haggard,Major
Haggard,Minor
Haggard,Major
Haggard,Minor
Haggard,Major
Eyas,Minor
Eyas-Musket,Minor
Eyas-Musket,Minor
Coystril,Minor
Puttock,Major
Owl,Major
Owl,Minor
Owl,Major
Owl,Minor
Owl,Major
Chough,Major
Chough,Minor
Crow,Minor
Crow,Major
Crow,Minor
Crow,Minor
Crow,Major
Crow,Major
Raven,Minor
Raven,Major
Raven,Minor
Raven,Major
Raven,Major
Rook,Major
Kite,Minor
Kite,Major
Kite,Major
Kite,Major
Daw,Major
Daw,Major
Daw,Minor
Jay,Minor
Jay,Minor
Jay,Minor
Pheasant,Minor
Pheasant,Minor
Partridge,Major
Quail,Minor
Woodcock,Minor
Woodcock,Minor
Woodcock,Minor
Woodcock,Minor
Woodcock,Minor
Woodcock,Minor
Woodcock,Minor
Woodcock,Major
Pigeon,Minor
Pigeon,Minor
Dove,Minor
Dove,Minor
Dove,Minor
Dove,Minor
Dove,Major
Nightingale,Major
Nightingale,Major
Nightingale,Minor
Nightingale,Major
Nightingale,Minor
Nightingale,Minor
Nightingale,Major
Nightingale,Minor
Lark,Major
Lark,Major
Lark,Minor
Lark,Major
Lark,Major
Lark,Minor
Lark,Minor
Robin,Minor
Robin,Minor
Thrush (Throstle),Minor
Thrush (Throstle),Minor
Lark,Major
Ousel-cock,Minor
Cuckoo,Minor
Cuckoo,Major
Cuckoo,Minor
Cuckoo,Major
Cuckoo,Minor
Lapwing,Major
Lapwing,Major
Lapwing,Major
Finch,Major
Swallow,Major
Swallow,Minor
Swallow,Minor
Swallow,Major
Martlet,Major
Hedge Sparrow,Major
Sparrow,Major
Sparrow,Major
Sparrow,Minor
Sparrow,Minor
Sparrow,Major
Sparrow,Minor
Sparrow,Major
Sparrow,Major
Wren,Major
Wren,Minor
Wren,Minor
Wren,Minor
Swan,Major
Swan,Major
Swan,Major
Swan,Major
Swan,Minor
Swan,Major
Swan,Major
Osprey,Minor
Handsaw (Heron),Major
Pelican,Major
Gull,Minor
Scamel (Sea-mell),Major
Mallard,Minor
Wild-fowl,Major
Wild-fowl,Minor
Wild Goose,Major
Wild Goose,Major
Goose,Minor
Goose,Minor
Goose,Major
Goose,Major
Goose,Major
Goose,Major
Goose,Major
Goose,Major
Goose,Major
Goose,Major
Gosling,Major
Duck,Minor
Duck,Minor
Duck,Minor
Duck,Minor
Turkey,Minor
Cock,Major
Cock,Minor
Cock,Major
Cock,Major
Cock,Major
Cock,Major
Cock,Major
Cock,Minor
Cock,Minor
Hen,Major
Chicken,Major
Chicken,Minor
Chicken,Major
Chicken,Minor
Chicken,Minor
Chicken,Major
Chicken,Major
Fowl,Minor
Fowl,Minor
Fowl,Major
Fowl,Minor
Fowl,Major
Fowl,Minor
Fowl,Minor
Horse,Major
Horse,Major
Horse,Major
Horse,Major
Horse,Minor
Horse,Minor
Horse,Minor
Horse,Major
Horse,Minor
Horse,Major
Horse,Minor
Horse,Major
Horse,Minor
Horse,Minor
Horse,Major
Horse,Major
Horse,Major
Dog,Major
Dog,Minor
Dog,Minor
Dog,Minor
Dog,Major
Dog,Minor
Dog,Major
Dog,Minor
Dog,Major
Dog,Minor
Dog,Minor
Dog,Minor
Dog,Major
Dog,Major
Dog,Major
Dog,Major
Dog,Major
Dog,Minor
Dog,Minor
Dog,Major
Dog,Major
Dog,Minor
Dog,Minor
Dog,Minor
Dog,Minor
Dog,Major
Dog,Major
Dog,Minor
Dog,Minor
Dog,Major
Dog,Major
Dog,Minor
Dog,Major
Dog,Minor
Dog,Major
Dog,Major
Dog,Major
Dog,Major
Dog,Major
Dog,Minor
Dog,Minor
Dog,Minor
Dog,Minor
Ass,Major
Ass,Major
Ass,Major
Ass,Minor
Ass,Minor
Ass,Major
Ass,Major
Ass,Major
Ass,Minor
Ass,Minor
Ass,Major
Ass,Major
Mule,Minor
Mule,Minor
Mule,Minor
Mule,Major
Bull,Minor
Bull,Minor
Bull,Minor
Bull,Major
Bull,Major
Ox,Minor
Ox,Minor
Ox,Minor
Cow,Major
Cow,Minor
Cow,Minor
Heifer,Major
Calf,Minor
Calf,Major
Ram,Major
Sheep,Major
Sheep,Minor
Sheep,Major
Sheep,Minor
Sheep,Major
Sheep,Minor
Sheep,Minor
Sheep,Minor
Sheep,Minor
Sheep,Minor
Sheep,Minor
Lamb,Minor
Lamb,Minor
Lamb,Minor
Lamb,Minor
Goat,Major
Goat,Minor
Goat,Major
Goat,Minor
Goat,Minor
Pig,Minor
Pig,Major
Pig,Minor
Pig,Minor
Hog,Minor
Hog,Minor
Boar,Minor
Stag,Major
Stag,Minor
Stag,Minor
Stag,Minor
Hind,Minor
Deer,Minor
Deer,Minor
Deer,Minor
Deer,Minor
Deer,Major
Deer,Minor
Deer,Minor
Buck,Major
Doe,Minor
Fawn,Major
Hart,Minor
Roe,Minor
Roe,Minor
Fox,Minor
Fox,Minor
Fox,Minor
Fox,Minor
Fox,Major
Fox,Minor
Fox,Major
Fox,Minor
Fox,Major
Fox,Minor
Hare,Major
Hare,Major
Hare,Minor
Rabbit,Minor
Rabbit,Minor
Coney,Major
Coney,Major
Coney,Minor
Squirrel,Major
Squirrel,Minor
Mole,Minor
Mole,Minor
Mole,Major
Mole,Major
Weasel,Major
Weasel,Major
Weasel,Minor
Weasel,Minor
Ferret,Major
Hedgehog,Minor
Hedgehog,Minor
Hedgehog,Minor
Cat,Minor
Cat,Minor
Cat,Minor
Cat,Minor
Cat,Major
Cat,Minor
Cat,Major
Cat,Minor
Cat,Minor
Cat,Minor
