ID ,Label,Type
Garden Flowers,Garden Flowers,Main_topic
Wild Flowers,Wild Flowers,Main_topic
Weeds,Weeds,Main_topic
Trees,Trees,Main_topic
Fruits,Fruits,Main_topic
Vegetables,Vegetables,Main_topic
Herbs,Herbs,Main_topic
Spices And Medicines,Spices And Medicines,Main_topic
Grain,Grain,Main_topic
Birds,Birds,Main_topic
Animals,Animals,Main_topic
Fish,Fish,Main_topic
Reptiles,Reptiles,Main_topic
Insects,Insects,Main_topic
A Midsummer Night's Dream,A Midsummer Night's Dream,Plays Names
Much Ado About Nothing,Much Ado About Nothing,Plays Names
Twelfth Night,Twelfth Night,Plays Names
Love's Labour's Lost,Love's Labour's Lost,Plays Names
As You Like It,As You Like It,Plays Names
The Taming of the Shrew,The Taming of the Shrew,Plays Names
Antony and Cleopatra,Antony and Cleopatra,Plays Names
Othello,Othello,Plays Names
Romeo and Juliet,Romeo and Juliet,Plays Names
The Winter's Tale,The Winter's Tale,Plays Names
Troilus and Cressida,Troilus and Cressida,Plays Names
Cymbeline,Cymbeline,Plays Names
Titus Andronicus,Titus Andronicus,Plays Names
Pericles,Pericles,Plays Names
Hamlet,Hamlet,Plays Names
Macbeth,Macbeth,Plays Names
The Tempest,The Tempest,Plays Names
Coriolanus,Coriolanus,Plays Names
King Lear,King Lear,Plays Names
The Comedy of Errors,The Comedy of Errors,Plays Names
Measure for Measure,Measure for Measure,Plays Names
The Merry Wives of Windsor,The Merry Wives of Windsor,Plays Names
Julius Caesar,Julius Caesar,Plays Names
Timon of Athens,Timon of Athens,Plays Names
The Merchant of Venice,The Merchant of Venice,Plays Names
All's Well That Ends Well,All's Well That Ends Well,Plays Names
Two Gentlemen of Verona,Two Gentlemen of Verona,Plays Names
The Taming of the Shrew (Induction),The Taming of the Shrew (Induction),Plays Names
The Tempset,The Tempset,Plays Names
