ID ,Label,Type
Rose,Rose,Sub_topic
Lily,Lily,Sub_topic
Carnation,Carnation,Sub_topic
Marigold,Marigold,Sub_topic
Columbine,Columbine,Sub_topic
Pansy,Pansy,Sub_topic
Lavender,Lavender,Sub_topic
Pink,Pink,Sub_topic
Gillyvors,Gillyvors,Sub_topic
Holy Thistle,Holy Thistle,Sub_topic
Violet,Violet,Sub_topic
Daffodil,Daffodil,Sub_topic
Primrose,Primrose,Sub_topic
Ox-Lip,Ox-Lip,Sub_topic
Daisy,Daisy,Sub_topic
Woodbine And Eglantine,Woodbine And Eglantine,Sub_topic
Honeysuckle,Honeysuckle,Sub_topic
Cowslip,Cowslip,Sub_topic
Hare-Bell,Hare-Bell,Sub_topic
Love-In-Idleness,Love-In-Idleness,Sub_topic
Nettle,Nettle,Sub_topic
Cockle,Cockle,Sub_topic
Fumitory,Fumitory,Sub_topic
"Hemlock, Harlock","Hemlock, Harlock",Sub_topic
Dock,Dock,Sub_topic
Thistle,Thistle,Sub_topic
Rushes,Rushes,Sub_topic
Burs,Burs,Sub_topic
Plantain,Plantain,Sub_topic
Cuckoo Flowers,Cuckoo Flowers,Sub_topic
Clover,Clover,Sub_topic
Oak,Oak,Sub_topic
Cedar,Cedar,Sub_topic
Elm,Elm,Sub_topic
Sycamore,Sycamore,Sub_topic
Yew,Yew,Sub_topic
Cypress,Cypress,Sub_topic
Pine,Pine,Sub_topic
Aspen,Aspen,Sub_topic
Box,Box,Sub_topic
Willow,Willow,Sub_topic
Palm,Palm,Sub_topic
Olive,Olive,Sub_topic
Myrtle,Myrtle,Sub_topic
Hazel,Hazel,Sub_topic
Laurel,Laurel,Sub_topic
Elder,Elder,Sub_topic
Pomegranate-tree,Pomegranate-tree,Sub_topic
Crab,Crab,Sub_topic
Holly,Holly,Sub_topic
Mistletoe,Mistletoe,Sub_topic
Vine,Vine,Sub_topic
Ivy,Ivy,Sub_topic
Hawthorn,Hawthorn,Sub_topic
Osiers,Osiers,Sub_topic
Briers,Briers,Sub_topic
Heath,Heath,Sub_topic
Strawberry,Strawberry,Sub_topic
Apricots,Apricots,Sub_topic
Grapes,Grapes,Sub_topic
Figs,Figs,Sub_topic
Pears,Pears,Sub_topic
Apples,Apples,Sub_topic
Quince,Quince,Sub_topic
Orange,Orange,Sub_topic
Lemon,Lemon,Sub_topic
Cherries,Cherries,Sub_topic
Mulberry,Mulberry,Sub_topic
Medlars,Medlars,Sub_topic
Blackberry,Blackberry,Sub_topic
Bilberry,Bilberry,Sub_topic
Dewberry,Dewberry,Sub_topic
Nuts,Nuts,Sub_topic
Walnut,Walnut,Sub_topic
Hazel-Nut,Hazel-Nut,Sub_topic
Chestnut,Chestnut,Sub_topic
Prunes,Prunes,Sub_topic
Dates,Dates,Sub_topic
Currants,Currants,Sub_topic
Raisins,Raisins,Sub_topic
Acorn,Acorn,Sub_topic
Berries,Berries,Sub_topic
Potato,Potato,Sub_topic
Cabbage,Cabbage,Sub_topic
Turnips,Turnips,Sub_topic
Parsley,Parsley,Sub_topic
Peascod,Peascod,Sub_topic
Lettuce,Lettuce,Sub_topic
Mushroom,Mushroom,Sub_topic
Samphire,Samphire,Sub_topic
Onion,Onion,Sub_topic
Garlic,Garlic,Sub_topic
Leek,Leek,Sub_topic
Mint,Mint,Sub_topic
Savory,Savory,Sub_topic
Marjoram,Marjoram,Sub_topic
Rue,Rue,Sub_topic
Rosemary,Rosemary,Sub_topic
Fennel,Fennel,Sub_topic
Hyssop And Thyme,Hyssop And Thyme,Sub_topic
Balm,Balm,Sub_topic
Nutmeg,Nutmeg,Sub_topic
Clove,Clove,Sub_topic
Ginger,Ginger,Sub_topic
Mace,Mace,Sub_topic
Saffron,Saffron,Sub_topic
Pepper,Pepper,Sub_topic
Mustard,Mustard,Sub_topic
Rhubarb and Senna,Rhubarb and Senna,Sub_topic
Poppy And Mandragora,Poppy And Mandragora,Sub_topic
Hebenon,Hebenon,Sub_topic
Gum,Gum,Sub_topic
"Coloquintida, Locusts","Coloquintida, Locusts",Sub_topic
Corn,Corn,Sub_topic
Wheat,Wheat,Sub_topic
Barley,Barley,Sub_topic
Oats,Oats,Sub_topic
Rye,Rye,Sub_topic
Vetches,Vetches,Sub_topic
Peas,Peas,Sub_topic
Flax,Flax,Sub_topic
Rice,Rice,Sub_topic
Ostrich,Ostrich,Sub_topic
Peacock,Peacock,Sub_topic
Parrot,Parrot,Sub_topic
Eagle,Eagle,Sub_topic
Vulture,Vulture,Sub_topic
Falcon,Falcon,Sub_topic
Hawk,Hawk,Sub_topic
Haggard,Haggard,Sub_topic
Eyas,Eyas,Sub_topic
