Main Topic,Sub-topic,Characters,Plays,Identification,Status,Play Category
Garden Flowers,Rose,Oberon,A Midsummer Night's Dream,Male,Major,Comedy
Garden Flowers,Rose,Titania,A Midsummer Night's Dream,Female,Major,Comedy
Garden Flowers,Rose,Don John,Much Ado About Nothing,Male,Major,Comedy
Garden Flowers,Rose,Orsino,Twelfth Night,Male,Major,Comedy
Garden Flowers,Rose,Biron,Love's Labour's Lost,Male,Minor,Comedy
Garden Flowers,Rose,Boyet,Love's Labour's Lost,Male,Minor,Comedy
Garden Flowers,Rose,Boyet,Love's Labour's Lost,Male,Minor,Comedy
Garden Flowers,Rose,Touchstone,As You Like It,Male,Major,Comedy
Garden Flowers,Rose,Petrucio,The Taming of the Shrew,Male,Major,Comedy
Garden Flowers,Rose,AC_Antony,Antony and Cleopatra,Male,Major,Tragedy
Garden Flowers,Rose,Othello,Othello,Male,Major,Tragedy
Garden Flowers,Rose,Juliet,Romeo and Juliet,Female,Major,Tragedy
Garden Flowers,Lily,Princess,Love's Labour's Lost,Female,Major,Comedy
Garden Flowers,Lily,Perdita,The Winter's Tale,Female,Major,Comedy
Garden Flowers,Lily,Troilus,Troilus and Cressida,Male,Major,Tragedy
Garden Flowers,Lily,Guiderius,Cymbeline,Male,Major,Tragedy
Garden Flowers,Lily,Titus,Titus Andronicus,Male,Major,Tragedy
Garden Flowers,Carnation,Perdita,The Winter's Tale,Female,Major,Comedy
Garden Flowers,Marigold,Perdita,The Winter's Tale,Female,Major,Comedy
Garden Flowers,Marigold,Marina,Pericles,Female,Major,Comedy
Garden Flowers,Columbine,Longueville,Love's Labour's Lost,Male,Minor,Comedy
Garden Flowers,Columbine,Ophelia,Hamlet,Female,Major,Tragedy
Garden Flowers,Pansy,Ophelia,Hamlet,Female,Major,Tragedy
Garden Flowers,Lavender,Perdita,The Winter's Tale,Female,Major,Comedy
Garden Flowers,Pink,Mercutio,Romeo and Juliet,Male,Major,Tragedy
Garden Flowers,Pink,Romeo,Romeo and Juliet,Male,Major,Tragedy
Garden Flowers,Gillyvors,Perdita,The Winter's Tale,Female,Major,Comedy
Garden Flowers,Pink,Polixenes,The Winter's Tale,Male,Minor,Comedy
Garden Flowers,Holy Thistle,Beatrice,Much Ado About Nothing,Female,Major,Comedy
Garden Flowers,Holy Thistle,Margaret,Much Ado About Nothing,Female,Minor,Comedy
Garden Flowers,Violet,Oberon,A Midsummer Night's Dream,Male,Major,Comedy
Wild Flowers,Violet,Orsino,Twelfth Night,Male,Major,Comedy
Wild Flowers,Violet,Perdita,The Winter's Tale,Female,Major,Comedy
Wild Flowers,Violet,Laertes,Hamlet,Male,Major,Tragedy
Wild Flowers,Violet,Laertes,Hamlet,Male,Major,Tragedy
Wild Flowers,Violet,Belarius,Cymbeline,Male,Major,Tragedy
Wild Flowers,Daffodil,Perdita,The Winter's Tale,Female,Major,Comedy
Wild Flowers,Primrose,Perdita,The Winter's Tale,Female,Major,Comedy
Wild Flowers,Primrose,Hermia,A Midsummer Night's Dream,Female,Major,Comedy
Wild Flowers,Daffodil,Arviragus,Cymbeline,Male,Major,Tragedy
Wild Flowers,Daffodil,Porter,Macbeth,Male,Minor,Comedy
Wild Flowers,Ox-Lip,Oberon,A Midsummer Night's Dream,Male,Major,Comedy
